Id,Name,registryKeyPath,registrySubPath
access16;L_Disablecommandbarbuttonsandmenuitems;L_ToolsMacroCreateShortcutMenufromMacro,Database Tools | Macro | Create Shortcut Menu from Macro,software\policies\microsoft\office\16.0\access\disabledcmdbaritemscheckboxes,toolsmacrocreateshortcutmenu
access16;L_Disablecommandbarbuttonsandmenuitems;L_ToolsMacroRunMacro,Database Tools | Macro | Run Macro,software\policies\microsoft\office\16.0\access\disabledcmdbaritemscheckboxes,accrunmacro
access16;L_Disablecommandbarbuttonsandmenuitems;L_ToolsMacroVisualBasicEditorAcc,Database tools | Macro | Visual Basic,software\policies\microsoft\office\16.0\access\disabledcmdbaritemscheckboxes,toolsmacrovbe
access16;L_Disablecommandbarbuttonsandmenuitems;L_ToolsSecurityEncryptDecryptDatabase,Database Tools | Database Tools | Encode/Decode Database,software\policies\microsoft\office\16.0\access\disabledcmdbaritemscheckboxes,toolssecurityencrypt
access16;L_Disablecommandbarbuttonsandmenuitems;L_ToolsSecuritySetDatabasePassword,Database tools | Database tools | Encrypt with Password,software\policies\microsoft\office\16.0\access\disabledcmdbaritemscheckboxes,toolssecuritysetpwd
access16;L_Disablecommandbarbuttonsandmenuitems;L_ToolsSecurityUserandGroupAccounts,File tab | Access Options | Customize | All Commands | User and Group accounts,software\policies\microsoft\office\16.0\access\disabledcmdbaritemscheckboxes,toolssecurityaccts
access16;L_Disablecommandbarbuttonsandmenuitems;L_ToolsSecurityUserandGroupPermissions,Database Tools | Administer | Users and Permission | User and Group Permissions,software\policies\microsoft\office\16.0\access\disabledcmdbaritemscheckboxes,toolssecurityperms
access16;L_Disablecommandbarbuttonsandmenuitems;L_ToolsSecurityUserLevelSecurityWizard,File tab | Access Options | Customize | All Commands | User-Level Security Wizard...,software\policies\microsoft\office\16.0\access\disabledcmdbaritemscheckboxes,toolssecuritysecwiz
access16;L_disableshortcutkeys86,Disable shortcut keys,NA,NA
access16;L_disableshortcutkeys86;L_Enterakeyandmodifiertodisable,Enter a key and modifier to disable,software\policies\microsoft\office\16.0\access\disabledshortcutkeyslist,
access16;L_Disableshortcutkeys;L_AltF11ToolsMacroVisualBasicEditorAcc,Alt+F11 (Database Tools | Macro | Visual Basic),software\policies\microsoft\office\16.0\access\disabledshortcutkeyscheckboxes,toolsmacrovbe
access16;L_Disableshortcutkeys;L_CtrlFFindAcc,Ctrl+F (Home | Find | Find),software\policies\microsoft\office\16.0\access\disabledshortcutkeyscheckboxes,find
access16;L_Disableshortcutkeys;L_CtrlKInsertHyperlinkAcc,Ctrl+K (File tab | Options | Customize | All Commands | Insert Hyperlinks),software\policies\microsoft\office\16.0\access\disabledshortcutkeyscheckboxes,inserthyperlink
access16;L_Disableshortcutkeys,Disable shortcut keys,NA,NA
access16;L_DisableTrustBarNotificationforunsigned,Disable Trust Bar Notification for unsigned application add-ins and block them,software\policies\microsoft\office\16.0\access\security,notbpromptunsignedaddin
access16;L_DisableTrustedLoc,Disable all trusted locations,software\policies\microsoft\office\16.0\access\security\trusted locations,alllocationsdisabled
access16;L_Donotprompttoconvertolderdatabases,Do not prompt to convert older databases,software\policies\microsoft\office\16.0\access\settings,noconvertdialog
access16;L_Followedhyperlinkcolor,Followed hyperlink color,NA,NA
access16;L_Followedhyperlinkcolor;L_followedhyperlinkcolor4,Followed hyperlink color,software\policies\microsoft\office\16.0\access\internet,followedhyperlinkcolor
access16;L_GeneralAlignment,General Alignment,NA,NA
access16;L_GeneralAlignment;L_generalalignment1,General Alignment,software\policies\microsoft\office\16.0\access\settings,general alignment
access16;L_Hyperlinkcolor,Hyperlink color,NA,NA
access16;L_Hyperlinkcolor;L_hyperlinkcolor3,Hyperlink color,software\policies\microsoft\office\16.0\access\internet,hyperlinkcolor
access16;L_Listoferrormessagestocustomize,List of error messages to customize,,
access16;L_Listoferrormessagestocustomize;L_listoferrormessagestocustomize84,List of error messages to customize,software\policies\microsoft\office\16.0\access\customizablealerts,
access16;L_ListOfManagedAddins,List of managed add-ins,,
access16;L_ListOfManagedAddins;L_ListOfManagedAddins2,List of managed add-ins,software\policies\microsoft\office\16.0\access\resiliency\addinlist,
access16;L_ModalTrustDecisionOnly,Modal Trust Decision Only,software\policies\microsoft\office\16.0\access\security,modaltrustdecisiononly
access16;L_NeverCachePolicy,Never cache data,software\policies\microsoft\office\16.0\access\settings,nevercache
access16;L_PathtosharedWorkgroupinformationfileforsecuredMDBfiles,Path to shared Workgroup information file for secured MDB files,NA,NA
access16;L_PathtosharedWorkgroupinformationfileforsecuredMDBfiles;L_pathtosharedworkgroupinformationfileforsecuredmdbfiles83,Path to shared Workgroup information file for secured MDB files,software\policies\microsoft\office\16.0\access\access connectivity engine\engines,systemdb
access16;L_PersonalTemplatesPath,Personal templates path for Access,NA,NA
access16;L_PersonalTemplatesPath;L_PersonalTemplatesPath,Personal templates path for Access,software\policies\microsoft\office\16.0\access\settings,personaltemplatesaccess
access16;L_Recentlyusedfilelist;L_Numberofentries,Number of entries: ,software\policies\microsoft\office\16.0\access\file mru,max display
access16;L_Recentlyusedfilelist,Number of files in the Recent list,NA,NA
access16;L_RequirethatApplicationExtensionsaresigned,Require that application add-ins are signed by Trusted Publisher,software\policies\microsoft\office\16.0\access\security,requireaddinsig
access16;L_SetCNGCipherAlgorithm,Set CNG cipher algorithm,NA,NA
access16;L_SetCNGCipherAlgorithm;L_SetCNGCipherAlgorithmID,CNG cipher algorithm:,software\policies\microsoft\office\16.0\access\security\crypto,cipheralgorithm
access16;L_SetCNGCipherKeyLength,Set CNG cipher key length,NA,NA
access16;L_SetCNGCipherKeyLength;L_SetCNGCipherKeyLengthSpinID,Cipher key length,software\policies\microsoft\office\16.0\access\security\crypto,cipherkeybits
access16;L_SetCNGPasswordSpinCount,Set CNG password spin count,NA,NA
access16;L_SetCNGPasswordSpinCount;L_SetCNGPasswordSpinCountSpinID,Set CNG password spin count,software\policies\microsoft\office\16.0\access\security\crypto,passwordspincount
access16;L_SetMaximumNumberOfTrustedDocuments,Set maximum number of trusted documents,NA,NA
access16;L_SetMaximumNumberOfTrustedDocuments;L_SetMaximumNumberOfTrustedDocumentsSpinID,Maximum number:,software\policies\microsoft\office\16.0\access\security\trusted documents,maxtrusteddocuments
access16;L_SetMaximumNumberOfTrustRecordsToPreserve,Set maximum number of trust records to preserve,NA,NA
access16;L_SetMaximumNumberOfTrustRecordsToPreserve;L_SetMaximumNumberOfTrustRecordsToPreserveSpinID,Maximum to preserve:,software\policies\microsoft\office\16.0\access\security\trusted documents,maxpreservetrusteddocuments
access16;L_SetNumberOfPlacesInTheRecentPlacesList,Number of folders in the Recent Folders list,NA,NA
access16;L_SetNumberOfPlacesInTheRecentPlacesList;L_SetNumberOfPlacesInTheRecentPlacesListSpinID,Number of folders: ,software\policies\microsoft\office\16.0\access\place mru,max display
access16;L_SetParametersForCNGContext,Set parameters for CNG context,NA,NA
access16;L_SetParametersForCNGContext;L_SetParametersForCNGContextID,Parameters,software\policies\microsoft\office\16.0\access\security\crypto,context
access16;L_SpecifyCNGHashAlgorithm,Specify CNG hash algorithm,NA,NA
access16;L_SpecifyCNGHashAlgorithm;L_SpecifyCNGHashAlgorithmDropID,Specify CNG hash algorithm,software\policies\microsoft\office\16.0\access\security\crypto,hashalgorithm
access16;L_SpecifyCNGRandomNumberGeneratorAlgorithm,Specify CNG random number generator algorithm,NA,NA
access16;L_SpecifyCNGRandomNumberGeneratorAlgorithm;L_SpecifyCNGRandomNumberGeneratorAlgorithmID,Random number generator:,software\policies\microsoft\office\16.0\access\security\crypto,rngalgorithm
access16;L_SpecifyCNGSaltLength,Specify CNG salt length,NA,NA
access16;L_SpecifyCNGSaltLength;L_SpecifyCNGSaltLengthSpinID,Number of bytes,software\policies\microsoft\office\16.0\access\security\crypto,saltbytes
access16;L_SpecifyEncryptionCompatibility,Specify encryption compatibility,NA,NA
access16;L_SpecifyEncryptionCompatibility;L_SpecifyEncryptionCompatibilityDropID,Specify encryption compatibility,software\policies\microsoft\office\16.0\access\security\crypto,compatmode
access16;L_TrustedLoc01;L_Allowsubfolders,Allow sub folders:,software\policies\microsoft\office\16.0\access\security\trusted locations\location1,allowsubfolders
access16;L_TrustedLoc01;L_Datecolon,Date:,software\policies\microsoft\office\16.0\access\security\trusted locations\location1,date
access16;L_TrustedLoc01;L_Descriptioncolon,Description:,software\policies\microsoft\office\16.0\access\security\trusted locations\location1,description
access16;L_TrustedLoc01;L_Pathcolon,Path:,software\policies\microsoft\office\16.0\access\security\trusted locations\location1,path
access16;L_TrustedLoc01,Trusted Location #1,NA,NA
access16;L_TrustedLoc02;L_allowsubfolders10,Allow sub folders:,software\policies\microsoft\office\16.0\access\security\trusted locations\location2,allowsubfolders
access16;L_TrustedLoc02;L_datecolon8,Date:,software\policies\microsoft\office\16.0\access\security\trusted locations\location2,date
access16;L_TrustedLoc02;L_descriptioncolon9,Description:,software\policies\microsoft\office\16.0\access\security\trusted locations\location2,description
access16;L_TrustedLoc02;L_pathcolon7,Path:,software\policies\microsoft\office\16.0\access\security\trusted locations\location2,path
access16;L_TrustedLoc02,Trusted Location #2,NA,NA
access16;L_TrustedLoc03;L_allowsubfolders14,Allow sub folders:,software\policies\microsoft\office\16.0\access\security\trusted locations\location3,allowsubfolders
access16;L_TrustedLoc03;L_datecolon12,Date:,software\policies\microsoft\office\16.0\access\security\trusted locations\location3,date
access16;L_TrustedLoc03;L_descriptioncolon13,Description:,software\policies\microsoft\office\16.0\access\security\trusted locations\location3,description
access16;L_TrustedLoc03;L_pathcolon11,Path:,software\policies\microsoft\office\16.0\access\security\trusted locations\location3,path
access16;L_TrustedLoc03,Trusted Location #3,NA,NA
access16;L_TrustedLoc04;L_allowsubfolders18,Allow sub folders:,software\policies\microsoft\office\16.0\access\security\trusted locations\location4,allowsubfolders
access16;L_TrustedLoc04;L_datecolon16,Date:,software\policies\microsoft\office\16.0\access\security\trusted locations\location4,date
access16;L_TrustedLoc04;L_descriptioncolon17,Description:,software\policies\microsoft\office\16.0\access\security\trusted locations\location4,description
access16;L_TrustedLoc04;L_pathcolon15,Path:,software\policies\microsoft\office\16.0\access\security\trusted locations\location4,path
access16;L_TrustedLoc04,Trusted Location #4,NA,NA
access16;L_TrustedLoc05;L_allowsubfolders22,Allow sub folders:,software\policies\microsoft\office\16.0\access\security\trusted locations\location5,allowsubfolders
access16;L_TrustedLoc05;L_datecolon20,Date:,software\policies\microsoft\office\16.0\access\security\trusted locations\location5,date
access16;L_TrustedLoc05;L_descriptioncolon21,Description:,software\policies\microsoft\office\16.0\access\security\trusted locations\location5,description
access16;L_TrustedLoc05;L_pathcolon19,Path:,software\policies\microsoft\office\16.0\access\security\trusted locations\location5,path
access16;L_TrustedLoc05,Trusted Location #5,NA,NA
access16;L_TrustedLoc06;L_allowsubfolders26,Allow sub folders:,software\policies\microsoft\office\16.0\access\security\trusted locations\location6,allowsubfolders
access16;L_TrustedLoc06;L_datecolon24,Date:,software\policies\microsoft\office\16.0\access\security\trusted locations\location6,date
access16;L_TrustedLoc06;L_descriptioncolon25,Description:,software\policies\microsoft\office\16.0\access\security\trusted locations\location6,description
access16;L_TrustedLoc06;L_pathcolon23,Path:,software\policies\microsoft\office\16.0\access\security\trusted locations\location6,path
access16;L_TrustedLoc06,Trusted Location #6,NA,NA
access16;L_TrustedLoc07;L_allowsubfolders30,Allow sub folders:,software\policies\microsoft\office\16.0\access\security\trusted locations\location7,allowsubfolders
access16;L_TrustedLoc07;L_datecolon28,Date:,software\policies\microsoft\office\16.0\access\security\trusted locations\location7,date
access16;L_TrustedLoc07;L_descriptioncolon29,Description:,software\policies\microsoft\office\16.0\access\security\trusted locations\location7,description
access16;L_TrustedLoc07;L_pathcolon27,Path:,software\policies\microsoft\office\16.0\access\security\trusted locations\location7,path
access16;L_TrustedLoc07,Trusted Location #7,NA,NA
access16;L_TrustedLoc08;L_allowsubfolders34,Allow sub folders:,software\policies\microsoft\office\16.0\access\security\trusted locations\location8,allowsubfolders
access16;L_TrustedLoc08;L_datecolon32,Date:,software\policies\microsoft\office\16.0\access\security\trusted locations\location8,date
access16;L_TrustedLoc08;L_descriptioncolon33,Description:,software\policies\microsoft\office\16.0\access\security\trusted locations\location8,description
access16;L_TrustedLoc08;L_pathcolon31,Path:,software\policies\microsoft\office\16.0\access\security\trusted locations\location8,path
access16;L_TrustedLoc08,Trusted Location #8,NA,NA
access16;L_TrustedLoc09;L_allowsubfolders38,Allow sub folders:,software\policies\microsoft\office\16.0\access\security\trusted locations\location9,allowsubfolders
access16;L_TrustedLoc09;L_datecolon36,Date:,software\policies\microsoft\office\16.0\access\security\trusted locations\location9,date
access16;L_TrustedLoc09;L_descriptioncolon37,Description:,software\policies\microsoft\office\16.0\access\security\trusted locations\location9,description
access16;L_TrustedLoc09;L_pathcolon35,Path:,software\policies\microsoft\office\16.0\access\security\trusted locations\location9,path
access16;L_TrustedLoc09,Trusted Location #9,NA,NA
access16;L_TrustedLoc10;L_allowsubfolders42,Allow sub folders:,software\policies\microsoft\office\16.0\access\security\trusted locations\location10,allowsubfolders
access16;L_TrustedLoc10;L_datecolon40,Date:,software\policies\microsoft\office\16.0\access\security\trusted locations\location10,date
access16;L_TrustedLoc10;L_descriptioncolon41,Description:,software\policies\microsoft\office\16.0\access\security\trusted locations\location10,description
access16;L_TrustedLoc10;L_pathcolon39,Path:,software\policies\microsoft\office\16.0\access\security\trusted locations\location10,path
access16;L_TrustedLoc10,Trusted Location #10,NA,NA
access16;L_TrustedLoc11;L_allowsubfolders46,Allow sub folders:,software\policies\microsoft\office\16.0\access\security\trusted locations\location11,allowsubfolders
access16;L_TrustedLoc11;L_datecolon44,Date:,software\policies\microsoft\office\16.0\access\security\trusted locations\location11,date
access16;L_TrustedLoc11;L_descriptioncolon45,Description:,software\policies\microsoft\office\16.0\access\security\trusted locations\location11,description
access16;L_TrustedLoc11;L_pathcolon43,Path:,software\policies\microsoft\office\16.0\access\security\trusted locations\location11,path
access16;L_TrustedLoc11,Trusted Location #11,NA,NA
access16;L_TrustedLoc12;L_allowsubfolders50,Allow sub folders:,software\policies\microsoft\office\16.0\access\security\trusted locations\location12,allowsubfolders
access16;L_TrustedLoc12;L_datecolon48,Date:,software\policies\microsoft\office\16.0\access\security\trusted locations\location12,date
access16;L_TrustedLoc12;L_descriptioncolon49,Description:,software\policies\microsoft\office\16.0\access\security\trusted locations\location12,description
access16;L_TrustedLoc12;L_pathcolon47,Path:,software\policies\microsoft\office\16.0\access\security\trusted locations\location12,path
access16;L_TrustedLoc12,Trusted Location #12,NA,NA
access16;L_TrustedLoc13;L_allowsubfolders54,Allow sub folders:,software\policies\microsoft\office\16.0\access\security\trusted locations\location13,allowsubfolders
access16;L_TrustedLoc13;L_datecolon52,Date:,software\policies\microsoft\office\16.0\access\security\trusted locations\location13,date
access16;L_TrustedLoc13;L_descriptioncolon53,Description:,software\policies\microsoft\office\16.0\access\security\trusted locations\location13,description
access16;L_TrustedLoc13;L_pathcolon51,Path:,software\policies\microsoft\office\16.0\access\security\trusted locations\location13,path
access16;L_TrustedLoc13,Trusted Location #13,NA,NA
access16;L_TrustedLoc14;L_allowsubfolders58,Allow sub folders:,software\policies\microsoft\office\16.0\access\security\trusted locations\location14,allowsubfolders
access16;L_TrustedLoc14;L_datecolon56,Date:,software\policies\microsoft\office\16.0\access\security\trusted locations\location14,date
access16;L_TrustedLoc14;L_descriptioncolon57,Description:,software\policies\microsoft\office\16.0\access\security\trusted locations\location14,description
access16;L_TrustedLoc14;L_pathcolon55,Path:,software\policies\microsoft\office\16.0\access\security\trusted locations\location14,path
access16;L_TrustedLoc14,Trusted Location #14,NA,NA
access16;L_TrustedLoc15;L_allowsubfolders62,Allow sub folders:,software\policies\microsoft\office\16.0\access\security\trusted locations\location15,allowsubfolders
